Spotify-Song,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,y
https://open.spotify.com/track/12niARgkwxGsklcEwh6GlG,0.606,0.349,4,-13.967,0.0319,0.764,0.306,0.112,80.071,0.156,1
https://open.spotify.com/track/4A9E08l34BkPsCDAmOpHxb,0.501,0.684,2,-5.368,0.0302,0.485,0,0.083,80.039,0.369,1
https://open.spotify.com/track/0fzCtVM9D5UEwiLqcY8Ouq,0.438,0.827,8,-6.531,0.0328,0.0512,0.000402,0.319,143.377,0.645,1
https://open.spotify.com/track/10tMVFMvd9224Zcq4A5dRL,0.56,0.761,11,-7.407,0.0321,0.264,4.38E-06,0.123,93.982,0.514,1
https://open.spotify.com/track/4PuUa8e5s7P3Zv1IdCGIsa,0.522,0.256,10,-11.216,0.0258,0.86,0.000806,0.142,76.349,0.13,1
https://open.spotify.com/track/5X3w2MfxgMTZkn2mTPQs0u,0.71,0.271,7,-9.541,0.0283,0.658,4.59E-06,0.115,131.88,0.686,1
https://open.spotify.com/track/3bHhUEOTIbezeZ856R0BX5,0.561,0.327,11,-10.835,0.0327,0.902,0.000469,0.111,161.858,0.298,-1
https://open.spotify.com/track/6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,10,-3.838,0.0524,0.00502,2.10E-05,0.0425,185.063,0.758,-1
https://open.spotify.com/track/6NSlOEEtWlqvEFrjQsry77,0.502,0.311,1,-13.421,0.0285,0.617,4.32E-05,0.129,107.612,0.4,1
https://open.spotify.com/track/4pR4oQJULf7FDB54TleMyH,0.443,0.778,0,-7.564,0.266,0.241,0,0.215,128.25,0.628,-1
https://open.spotify.com/track/1q8NdCAQ9QUjpYiqzdd3mv,0.829,0.878,9,-5.951,0.101,0.0959,0,0.776,87.991,0.883,1
https://open.spotify.com/track/5pfMCigflH6yJXoRnmK0Hb,0.55,0.67,10,-10.242,0.127,0.214,0,0.346,114.264,0.75,-1
https://open.spotify.com/track/4bJ7tMJqfYmkKgCYzaaG4B,0.571,0.508,11,-8.118,0.0254,0.532,0.951,0.161,96.825,0.102,-1
https://open.spotify.com/track/0FLmR0blAIztjE7YsQpoYc,0.605,0.666,11,-5.77,0.0413,0.0234,0.647,0.0841,100.138,0.0865,1
https://open.spotify.com/track/38hOrmc7D0YqWZ2QYdxgK2,0.699,0.858,11,-6.603,0.089,0.0332,0.000204,0.0978,115.113,0.432,-1
https://open.spotify.com/track/5nqd51nD2UACz5JQ83v878,0.382,0.507,2,-8.179,0.0323,0.787,0.0124,0.235,135.787,0.494,1
https://open.spotify.com/track/2Y3x5VcEAxLNmVHxQOE0jB,0.778,0.399,1,-8.984,0.0858,0.0751,0.835,0.103,137.305,0.321,1
https://open.spotify.com/track/6J0HEZmMPkLGLljiW3mBJZ,0.503,0.733,11,-7.272,0.188,0.676,0.809,0.0983,167.935,0.377,1
https://open.spotify.com/track/5dEt0DGA9MGwBlwdBG6a62,0.761,0.391,1,-8.742,0.0345,0.0263,0.0101,0.0527,116.875,0.965,1
https://open.spotify.com/track/3lB31lvF4GEwKwMgFWwCJ7,0.86,0.41,9,-13.625,0.0473,0.306,0.000669,0.0424,98.269,0.653,-1
https://open.spotify.com/track/2B6945YOzaZaWncHmywJtO,0.701,0.751,11,-10.699,0.0581,0.0019,0.714,0.061,114.292,0.955,-1
https://open.spotify.com/track/2xKrjhPVU1d5hYzfNY6Ltb,0.63,0.735,2,-7.682,0.0346,0.464,0.8,0.0817,106.589,0.727,-1
https://open.spotify.com/track/1FhP3mymDoN2hX5p57uTnu,0.537,0.501,7,-11.22,0.093,0.0684,0.00366,0.0753,93.849,0.914,1
https://open.spotify.com/track/1bZH8L8V2m454tdcSPEIl7,0.628,0.585,3,-8.036,0.0421,0.147,0.927,0.0465,100.95,0.618,-1
https://open.spotify.com/track/3yoSHWIvtNQ52Jf3bCoaBa,0.682,0.941,2,-5.144,0.181,0.388,0.0132,0.613,131.38,0.595,-1
https://open.spotify.com/track/414J8tKHbtF16XOiHGBEso,0.547,0.356,5,-10.199,0.0366,0.954,0.917,0.0891,81.032,0.504,-1
https://open.spotify.com/track/21s0bjVrP7RtQskeUKZxOu,0.831,0.835,0,-3.768,0.142,0.128,0.00227,0.134,114.997,0.8,1
https://open.spotify.com/track/1UIqpCB0b56K7U0JJPfskN,0.892,0.708,4,-9.041,0.0782,0.0395,0.00147,0.0335,127.002,0.949,-1
https://open.spotify.com/track/4YEU9N2XAE0DfUwxWI5ijA,0.761,0.488,9,-7.326,0.043,0.199,0.00236,0.0864,100.024,0.682,1
https://open.spotify.com/track/1Bx3trnFdCStyiV5PF0vkj,0.674,0.607,1,-7.76,0.057,0.0124,0.87,0.147,77.845,0.712,1
https://open.spotify.com/track/6K8y9WcUbgv0j7RGceHvym,0.777,0.598,2,-13.803,0.0412,0.023,0.89,0.106,100.007,0.684,-1
https://open.spotify.com/track/6tkSDxoNHMQ6eoeJGB2Q22,0.676,0.769,7,-10.142,0.0535,0.00545,0.0256,0.131,117.733,0.891,1
https://open.spotify.com/track/6IwbrqhA8HxDwcIWNbAbGV,0.814,0.856,3,-4.97,0.0404,0.404,0.000164,0.147,122.312,0.95,1
https://open.spotify.com/track/7JPNvoMjoIXkTDAMx9Aajj,0.549,0.254,10,-14.48,0.0416,0.962,0.931,0.0994,81.484,0.541,1
https://open.spotify.com/track/1xDeDsNoBNyBidVQKPnWXE,0.587,0.732,5,-8.097,0.0317,0.055,0.924,0.247,96.848,0.747,1
https://open.spotify.com/track/4TbIOAb7FfbhHi2glq0EwA,0.439,0.475,6,-12.559,0.0361,0.449,0.253,0.0903,111.717,0.428,-1
https://open.spotify.com/track/1QVvGeS1HzBT5UmLsQotCs,0.67,0.826,2,-6.765,0.0459,0.00702,0.815,0.0993,110.684,0.552,1
https://open.spotify.com/track/3ObBmm3X92aff7Dct4drkj,0.815,0.602,7,-10.192,0.196,0.3,0.00548,0.0737,109.704,0.805,-1
